"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.339659000E-3,-2.018049955E-1,1.105210036E-1,-3.228999972E-1
1.325380700E-2,-2.079049945E-1,1.262080073E-1,-3.366610110E-1
1.819657300E-2,-2.159750015E-1,1.425040066E-1,-3.518419862E-1
2.312730300E-2,-6.365799904E-2,1.255590022E-1,3.541469872E-1
2.806157400E-2,-7.786799967E-2,1.441899985E-1,3.342939913E-1
3.299265500E-2,-2.472900040E-2,2.032099962E-1,4.884270132E-1
3.792373200E-2,7.465200126E-2,1.781730056E-1,5.126979947E-1
4.285504000E-2,1.416999996E-1,1.835429966E-1,4.866450131E-1
4.778615000E-2,1.890130043E-1,1.429609954E-1,4.272080064E-1
5.271730400E-2,1.769369990E-1,1.496769935E-1,3.589569926E-1
5.764838100E-2,1.608960032E-1,1.605120003E-1,2.821100056E-1
6.257968700E-2,1.390559971E-1,1.707410067E-1,1.921149939E-1
6.751076500E-2,9.485500306E-2,1.758179963E-1,1.535429955E-1
7.244191700E-2,9.023900330E-2,2.326000035E-1,7.800299674E-2
7.737303000E-2,8.916699886E-2,2.362219989E-1,3.454999998E-2
8.230433600E-2,1.036240011E-1,2.355210036E-1,5.398200080E-2
8.723541500E-2,1.673319936E-1,1.851489991E-1,9.653700143E-2
9.216649200E-2,1.945849955E-1,1.354030073E-1,1.145830005E-1
9.709764400E-2,2.353529930E-1,1.189939976E-1,1.108499989E-1
1.020289510E-1,2.141190022E-1,1.494109929E-1,5.050199851E-2
1.069600540E-1,2.054650038E-1,1.268839985E-1,-1.649199985E-2
1.118911310E-1,2.070939988E-1,1.161789969E-1,-4.467400163E-2
1.168222080E-1,1.717270017E-1,1.269980073E-1,-3.383100033E-2
1.217533790E-1,1.277910024E-1,1.287869960E-1,-6.000999827E-3
1.266844580E-1,7.978200167E-2,1.309240013E-1,1.723200083E-2
1.316155350E-1,1.338199992E-2,1.452039927E-1,3.360499814E-2
1.365468460E-1,1.829200052E-2,1.665119976E-1,4.987499863E-2
1.414779250E-1,4.351500049E-2,2.042360008E-1,8.975899965E-2
1.464090850E-1,5.801799893E-2,1.828439981E-1,1.526840031E-1
1.513401640E-1,1.116129979E-1,1.713870019E-1,1.955669969E-1
1.562714700E-1,2.037249953E-1,1.481440067E-1,2.110770047E-1
1.612025690E-1,2.682079971E-1,1.391350031E-1,1.974249929E-1
1.661337210E-1,2.897450030E-1,1.230560020E-1,1.790920049E-1
1.710648000E-1,3.305279911E-1,1.214289963E-1,1.967650056E-1
1.759961380E-1,3.667330146E-1,1.649779975E-1,2.483250052E-1
1.809272170E-1,3.418630064E-1,1.918199956E-1,3.004769981E-1
1.858583690E-1,2.853460014E-1,2.040199935E-1,2.794719934E-1
1.907894580E-1,2.535969913E-1,1.859740019E-1,3.494040072E-1
1.957205350E-1,1.685460061E-1,1.450559944E-1,3.453699946E-1
2.006518410E-1,1.440989971E-1,7.397700101E-2,3.076809943E-1
2.055829970E-1,7.587800175E-2,3.234399855E-2,2.560530007E-1
2.105140740E-1,3.029100038E-2,1.499699987E-2,1.999890059E-1
2.154451460E-1,9.387999773E-3,4.499100149E-2,1.350239962E-1
2.203764510E-1,7.989999722E-4,1.051020026E-1,7.798799872E-2
2.253075250E-1,1.314099971E-2,1.739050001E-1,7.867400348E-2
2.302386020E-1,2.978100069E-2,2.061470002E-1,4.123700038E-2
2.351697540E-1,5.859999917E-3,2.166679949E-1,-3.181000007E-3
2.401008530E-1,-2.039300092E-2,2.246730030E-1,-2.831000090E-2
2.450321590E-1,-1.764499955E-2,1.756130010E-1,-1.085549966E-1
2.499632380E-1,2.044899948E-2,1.202180013E-1,-1.415529996E-1
2.548943100E-1,-3.911200166E-2,1.040799990E-1,-1.173129976E-1
2.598254610E-1,-7.540199906E-2,8.953999728E-2,-9.651800245E-2
2.647565400E-1,-8.134000003E-2,1.039120033E-1,-3.536700085E-2
2.696878370E-1,-7.631400228E-2,1.352459937E-1,5.885599926E-2
2.746189160E-1,-4.391400144E-2,1.927289963E-1,1.526959985E-1
2.795500680E-1,-1.244699955E-2,2.471009940E-1,1.556140035E-1
2.844811520E-1,-3.062000033E-3,2.745630145E-1,9.403800219E-2
2.894122290E-1,-1.066699997E-2,2.991060019E-1,4.947200045E-2
2.943435190E-1,-2.760300040E-2,2.875609994E-1,-4.032700136E-2
2.992746750E-1,-1.843100041E-2,2.026229948E-1,-2.759799920E-2
3.042057520E-1,6.843099743E-2,1.472029984E-1,2.979099937E-2
3.091368340E-1,1.584620029E-1,7.113199681E-2,6.464900076E-2
3.140681400E-1,1.707269996E-1,-6.207999773E-3,1.105939969E-1
3.189992190E-1,1.957869977E-1,-5.168500170E-2,1.556890011E-1
3.239303010E-1,2.269279957E-1,-5.645300075E-2,8.317500353E-2
3.288614530E-1,2.364030033E-1,1.989199966E-2,3.962000087E-2
3.337927600E-1,1.728679985E-1,7.732699811E-2,-5.855999887E-3
3.387239110E-1,8.003699780E-2,8.290600032E-2,-1.083730012E-1
3.436549110E-1,1.505899988E-2,5.627200007E-2,-1.796959937E-1
3.485860630E-1,-8.934900165E-2,2.902200073E-2,-1.506959945E-1
3.535173710E-1,-1.571149975E-1,5.759299919E-2,-1.599600017E-1
3.584484500E-1,-2.766239941E-1,1.013460010E-1,-8.533299714E-2
3.633796010E-1,-4.188059866E-1,2.048680037E-1,-4.839500040E-2
3.683106800E-1,-4.958429933E-1,3.057149947E-1,1.530400012E-2
3.732419860E-1,-5.062469840E-1,3.657050133E-1,7.664699852E-2
3.781730650E-1,-4.557799995E-1,4.607770145E-1,9.488800168E-2
3.831041420E-1,-4.229219854E-1,5.073109865E-1,4.379599914E-2
3.880352940E-1,-3.927969933E-1,5.127080083E-1,-2.866099961E-2
3.929663680E-1,-3.337970078E-1,5.243380070E-1,-1.484320015E-1
3.978976730E-1,-3.075320125E-1,5.117210150E-1,-1.455979943E-1
4.028287520E-1,-2.567540109E-1,4.655300081E-1,-1.208970025E-1
4.077598340E-1,-2.033039927E-1,4.217039943E-1,-7.444900274E-2
4.126909860E-1,-1.148670018E-1,3.309920132E-1,1.222029999E-1
4.176222940E-1,1.929200068E-2,1.864809990E-1,2.626399994E-1
4.225533680E-1,1.312189996E-1,4.341899976E-2,3.896110058E-1
4.274844450E-1,1.896010041E-1,-7.903999835E-2,4.264850020E-1
4.324155970E-1,2.824229896E-1,-1.809220016E-1,4.066349864E-1
4.373466810E-1,3.573270142E-1,-2.193430066E-1,3.901720047E-1
4.422779860E-1,4.317849874E-1,-2.328519970E-1,3.511349857E-1
4.472090650E-1,4.686580002E-1,-2.074300051E-1,2.685230076E-1
4.521402260E-1,4.310919940E-1,-1.502099931E-1,2.361660004E-1
4.570713050E-1,3.367570043E-1,-9.489999712E-2,2.041420043E-1
4.620023820E-1,2.100940049E-1,1.326700021E-2,1.655219942E-1
4.669336580E-1,1.084859967E-1,6.459499896E-2,1.751720011E-1
4.718647370E-1,3.613800183E-2,1.285859942E-1,2.903519869E-1
4.767958840E-1,-3.579699993E-2,1.618510038E-1,3.459329903E-1
4.817269630E-1,-4.841500148E-2,1.925970018E-1,4.112690091E-1
4.866582690E-1,-9.002400190E-2,1.703840047E-1,4.505780041E-1
4.915893140E-1,-9.615500271E-2,1.854259968E-1,5.239440203E-1
4.965203910E-1,-1.215939969E-1,1.561799943E-1,5.931590199E-1
5.014515430E-1,-1.514430046E-1,9.896499664E-2,5.890759826E-1
5.063826220E-1,-1.163410023E-1,4.924999923E-2,5.908020139E-1
5.113139270E-1,-1.091300026E-1,3.054999933E-2,5.459190011E-1
5.162450060E-1,-4.619000107E-2,2.065999899E-3,4.783219993E-1
5.211761580E-1,2.972899936E-2,-7.340000011E-4,3.427149951E-1
5.261074660E-1,9.518499672E-2,2.219000086E-2,2.277670056E-1
5.310385450E-1,1.552850008E-1,2.571500093E-2,5.198999867E-2
5.359696270E-1,1.842720062E-1,7.917500287E-2,-1.461700052E-1
5.409007040E-1,2.022510022E-1,9.324599802E-2,-3.381150067E-1
5.458318560E-1,2.060849965E-1,9.658499807E-2,-4.787360132E-1
5.507631530E-1,2.446859926E-1,9.955299646E-2,-5.757989883E-1
5.556942320E-1,2.488099933E-1,6.757800281E-2,-6.392800212E-1
5.606253090E-1,1.856639981E-1,5.590200052E-2,-6.666790247E-1
5.655564510E-1,1.405739933E-1,5.963800102E-2,-6.557750106E-1
5.704877590E-1,7.549200207E-2,7.403799891E-2,-6.041309834E-1
5.754188380E-1,5.860700086E-2,7.555799931E-2,-4.618709981E-1
5.803499200E-1,9.833999723E-2,5.703200027E-2,-2.891080081E-1
