"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
8.182198770E-1,6.031332380E1,2.503291190E1,2.719817838E1,NaN,NaN,2.117499924E1,1.085825920E0
1.238211462E0,6.031332380E1,2.503291190E1,2.719817838E1,NaN,NaN,2.410799980E1,1.672425985E0
1.372038462E0,6.031332380E1,2.503291190E1,2.719817838E1,NaN,NaN,2.504599953E1,1.860025883E0
1.400535769E0,6.031332380E1,2.503291190E1,2.719817838E1,NaN,NaN,2.524900055E1,1.900625944E0
4.322721539E0,6.031331167E1,2.503309167E1,5.539856898E1,1.482400000E-1,1.639299927E2,2.599999905E0,3.799999952E0
5.316088308E0,6.031332000E1,2.503305833E1,5.059849033E1,8.544389158E-2,1.639299927E2,2.099999905E0,3.599999905E0
7.163796001E0,6.031332167E1,2.503305833E1,4.989848859E1,5.095750093E-2,1.639299927E2,2.099999905E0,3.599999905E0
8.165826231E0,6.031332667E1,2.503305833E1,4.939848336E1,4.066305608E-2,1.639299927E2,2.000000000E0,3.599999905E0
9.162934462E0,6.031332833E1,2.503305667E1,4.849847812E1,2.470666729E-2,1.639299927E2,2.000000000E0,3.700000048E0
1.016644162E1,6.031333000E1,2.503305833E1,4.789847987E1,2.728027850E-2,1.639299927E2,2.000000000E0,3.799999952E0
1.117036131E1,6.031333167E1,2.503305833E1,4.739847813E1,3.345694393E-2,1.639299927E2,2.000000000E0,3.799999952E0
1.217444738E1,6.031333333E1,2.503306000E1,4.699847988E1,4.014833272E-2,1.639299927E2,1.899999976E0,3.799999952E0
1.317087292E1,6.031333333E1,2.503305833E1,4.649847638E1,1.863294393E-1,1.639299927E2,1.899999976E0,3.799999952E0
1.418983546E1,6.031333167E1,2.503305500E1,4.509847113E1,5.708269477E-1,1.848399963E2,1.899999976E0,3.900000095E0
